"filename", "language", "HTML", "Markdown", "Python", "SVG", "CSS", "OpenXml", "JavaScript", "comment", "blank", "total"
"d:\Projects\pharmify\README.md", "Markdown", 0, 18, 0, 0, 0, 0, 0, 0, 13, 31
"d:\Projects\pharmify\design\Plan - Pharmify - Dinesh.docx", "OpenXml", 0, 0, 0, 0, 0, 111, 0, 0, 1, 112
"d:\Projects\pharmify\design\Plan - Pharmify.docx", "OpenXml", 0, 0, 0, 0, 0, 264, 0, 0, 2, 266
"d:\Projects\pharmify\manage.py", "Python", 0, 0, 17, 0, 0, 0, 0, 1, 5, 23
"d:\Projects\pharmify\pharmify\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\pharmify\pharmify\asgi.py", "Python", 0, 0, 10, 0, 0, 0, 0, 0, 7, 17
"d:\Projects\pharmify\pharmify\settings.py", "Python", 0, 0, 89, 0, 0, 0, 0, 21, 40, 150
"d:\Projects\pharmify\pharmify\urls.py", "Python", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"d:\Projects\pharmify\pharmify\views.py", "Python", 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"d:\Projects\pharmify\pharmify\wsgi.py", "Python", 0, 0, 10, 0, 0, 0, 0, 0, 7, 17
"d:\Projects\pharmify\product\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\pharmify\product\admin.py", "Python", 0, 0, 4, 0, 0, 0, 0, 1, 1, 6
"d:\Projects\pharmify\product\apps.py", "Python", 0, 0, 4, 0, 0, 0, 0, 0, 3, 7
"d:\Projects\pharmify\product\migrations\0001_initial.py", "Python", 0, 0, 25, 0, 0, 0, 0, 1, 7, 33
"d:\Projects\pharmify\product\migrations\0002_rename_dosage_form_product_product_type.py", "Python", 0, 0, 12, 0, 0, 0, 0, 1, 6, 19
"d:\Projects\pharmify\product\migrations\0003_seller_product_seller.py", "Python", 0, 0, 21, 0, 0, 0, 0, 1, 6, 28
"d:\Projects\pharmify\product\migrations\0004_alter_product_seller.py", "Python", 0, 0, 13, 0, 0, 0, 0, 1, 6, 20
"d:\Projects\pharmify\product\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\pharmify\product\models.py", "Python", 0, 0, 22, 0, 0, 0, 0, 1, 7, 30
"d:\Projects\pharmify\product\templates\stock\new.html", "HTML", 164, 0, 0, 0, 0, 0, 0, 31, 38, 233
"d:\Projects\pharmify\product\templates\stock\save.html", "HTML", 10, 0, 0, 0, 0, 0, 0, 1, 3, 14
"d:\Projects\pharmify\product\templates\stock\summary.html", "HTML", 67, 0, 0, 0, 0, 0, 0, 19, 20, 106
"d:\Projects\pharmify\product\tests.py", "Python", 0, 0, 1, 0, 0, 0, 0, 1, 2, 4
"d:\Projects\pharmify\product\urls.py", "Python", 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"d:\Projects\pharmify\product\views.py", "Python", 0, 0, 61, 0, 0, 0, 0, 1, 18, 80
"d:\Projects\pharmify\static\assets\components\spinner.svg", "SVG", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Projects\pharmify\static\assets\dot-accent.svg", "SVG", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Projects\pharmify\static\assets\dot-black.svg", "SVG", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Projects\pharmify\static\assets\dot-grey.svg", "SVG", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Projects\pharmify\static\assets\dot-primary.svg", "SVG", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Projects\pharmify\static\assets\dot.svg", "SVG", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Projects\pharmify\static\assets\icon-sprite.svg", "SVG", 0, 0, 0, 273, 0, 0, 0, 61, 48, 382
"d:\Projects\pharmify\static\assets\illus\email-sent.svg", "SVG", 0, 0, 0, 70, 0, 0, 0, 0, 1, 71
"d:\Projects\pharmify\static\assets\illus\flag-india.svg", "SVG", 0, 0, 0, 22, 0, 0, 0, 0, 0, 22
"d:\Projects\pharmify\static\assets\illus\login-bg.svg", "SVG", 0, 0, 0, 122, 0, 0, 0, 0, 1, 123
"d:\Projects\pharmify\static\assets\illus\password-reset-success.svg", "SVG", 0, 0, 0, 83, 0, 0, 0, 0, 1, 84
"d:\Projects\pharmify\static\assets\illus\signup-bg.svg", "SVG", 0, 0, 0, 221, 0, 0, 0, 0, 1, 222
"d:\Projects\pharmify\static\assets\illus\spinner.svg", "SVG", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Projects\pharmify\static\assets\logo\app-icon.svg", "SVG", 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"d:\Projects\pharmify\static\assets\logo\favicon.svg", "SVG", 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"d:\Projects\pharmify\static\assets\logo\logo-black.svg", "SVG", 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"d:\Projects\pharmify\static\assets\logo\logo-outlined.svg", "SVG", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Projects\pharmify\static\assets\logo\logo-white.svg", "SVG", 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"d:\Projects\pharmify\static\assets\logo\logo.svg", "SVG", 0, 0, 0, 29, 0, 0, 0, 0, 1, 30
"d:\Projects\pharmify\static\script\main.js", "JavaScript", 0, 0, 0, 0, 0, 0, 194, 43, 54, 291
"d:\Projects\pharmify\static\script\stock-new.js", "JavaScript", 0, 0, 0, 0, 0, 0, 381, 37, 67, 485
"d:\Projects\pharmify\static\script\stock-summary.js", "JavaScript", 0, 0, 0, 0, 0, 0, 179, 19, 28, 226
"d:\Projects\pharmify\static\script\utils\components.js", "JavaScript", 0, 0, 0, 0, 0, 0, 154, 30, 37, 221
"d:\Projects\pharmify\static\script\utils\const.js", "JavaScript", 0, 0, 0, 0, 0, 0, 73, 17, 8, 98
"d:\Projects\pharmify\static\script\utils\inputs.js", "JavaScript", 0, 0, 0, 0, 0, 0, 381, 70, 83, 534
"d:\Projects\pharmify\static\script\utils\utils.js", "JavaScript", 0, 0, 0, 0, 0, 0, 109, 34, 32, 175
"d:\Projects\pharmify\static\style\animations.css", "CSS", 0, 0, 0, 0, 69, 0, 0, 4, 13, 86
"d:\Projects\pharmify\static\style\authentication.css", "CSS", 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
"d:\Projects\pharmify\static\style\form.css", "CSS", 0, 0, 0, 0, 577, 0, 0, 19, 116, 712
"d:\Projects\pharmify\static\style\main.css", "CSS", 0, 0, 0, 0, 695, 0, 0, 41, 134, 870
"d:\Projects\pharmify\static\style\onboarding.css", "CSS", 0, 0, 0, 0, 63, 0, 0, 0, 9, 72
"d:\Projects\pharmify\static\style\reset.css", "CSS", 0, 0, 0, 0, 233, 0, 0, 22, 41, 296
"d:\Projects\pharmify\static\style\settings.css", "CSS", 0, 0, 0, 0, 97, 0, 0, 0, 21, 118
"d:\Projects\pharmify\static\style\stock\new.css", "CSS", 0, 0, 0, 0, 281, 0, 0, 6, 55, 342
"d:\Projects\pharmify\templates\components\navbar.html", "HTML", 107, 0, 0, 0, 0, 0, 0, 15, 7, 129
"d:\Projects\pharmify\templates\components\product_list.html", "HTML", 117, 0, 0, 0, 0, 0, 0, 0, 0, 117
"d:\Projects\pharmify\templates\index.html", "HTML", 15, 0, 0, 0, 0, 0, 0, 12, 12, 39
"d:\Projects\pharmify\user\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\pharmify\user\admin.py", "Python", 0, 0, 22, 0, 0, 0, 0, 0, 4, 26
"d:\Projects\pharmify\user\apps.py", "Python", 0, 0, 4, 0, 0, 0, 0, 0, 3, 7
"d:\Projects\pharmify\user\manager.py", "Python", 0, 0, 18, 0, 0, 0, 0, 0, 5, 23
"d:\Projects\pharmify\user\migrations\0001_initial.py", "Python", 0, 0, 43, 0, 0, 0, 0, 1, 7, 51
"d:\Projects\pharmify\user\migrations\0002_alter_owner_email.py", "Python", 0, 0, 12, 0, 0, 0, 0, 1, 6, 19
"d:\Projects\pharmify\user\migrations\0003_alter_owner_username.py", "Python", 0, 0, 12, 0, 0, 0, 0, 1, 6, 19
"d:\Projects\pharmify\user\migrations\0004_remove_owner_username.py", "Python", 0, 0, 11, 0, 0, 0, 0, 1, 6, 18
"d:\Projects\pharmify\user\migrations\0005_alter_owner_managers.py", "Python", 0, 0, 12, 0, 0, 0, 0, 1, 6, 19
"d:\Projects\pharmify\user\migrations\0006_alter_owner_avatar_alter_owner_license.py", "Python", 0, 0, 17, 0, 0, 0, 0, 1, 6, 24
"d:\Projects\pharmify\user\migrations\0007_alter_owner_avatar.py", "Python", 0, 0, 12, 0, 0, 0, 0, 1, 6, 19
"d:\Projects\pharmify\user\migrations\0008_alter_owner_avatar.py", "Python", 0, 0, 12, 0, 0, 0, 0, 1, 6, 19
"d:\Projects\pharmify\user\migrations\0009_alter_owner_avatar.py", "Python", 0, 0, 12, 0, 0, 0, 0, 1, 6, 19
"d:\Projects\pharmify\user\migrations\0010_alter_owner_avatar.py", "Python", 0, 0, 12, 0, 0, 0, 0, 1, 6, 19
"d:\Projects\pharmify\user\migrations\0011_alter_owner_license.py", "Python", 0, 0, 12, 0, 0, 0, 0, 1, 6, 19
"d:\Projects\pharmify\user\migrations\0012_alter_owner_phone_number.py", "Python", 0, 0, 12, 0, 0, 0, 0, 1, 6, 19
"d:\Projects\pharmify\user\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\pharmify\user\models.py", "Python", 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"d:\Projects\pharmify\user\templates\comp-otp-form.html", "HTML", 34, 0, 0, 0, 0, 0, 0, 4, 3, 41
"d:\Projects\pharmify\user\templates\email-template-otp.html", "HTML", 109, 0, 0, 0, 0, 0, 0, 9, 33, 151
"d:\Projects\pharmify\user\templates\login.html", "HTML", 87, 0, 0, 0, 0, 0, 0, 14, 27, 128
"d:\Projects\pharmify\user\templates\password\password_reset.html", "HTML", 69, 0, 0, 0, 0, 0, 0, 11, 23, 103
"d:\Projects\pharmify\user\templates\password\password_reset_done.html", "HTML", 41, 0, 0, 0, 0, 0, 0, 9, 15, 65
"d:\Projects\pharmify\user\templates\password\password_reset_email.html", "HTML", 114, 0, 0, 0, 0, 0, 0, 7, 31, 152
"d:\Projects\pharmify\user\templates\password\password_reset_form.html", "HTML", 89, 0, 0, 0, 0, 0, 0, 13, 26, 128
"d:\Projects\pharmify\user\templates\password\password_reset_sent.html", "HTML", 41, 0, 0, 0, 0, 0, 0, 10, 13, 64
"d:\Projects\pharmify\user\templates\settings\account-privacy.html", "HTML", 98, 0, 0, 0, 0, 0, 0, 10, 31, 139
"d:\Projects\pharmify\user\templates\settings\edit-profile.html", "HTML", 216, 0, 0, 0, 0, 0, 0, 29, 67, 312
"d:\Projects\pharmify\user\templates\settings\settings.html", "HTML", 36, 0, 0, 0, 0, 0, 0, 9, 17, 62
"d:\Projects\pharmify\user\templates\signup.html", "HTML", 156, 0, 0, 0, 0, 0, 0, 23, 38, 217
"d:\Projects\pharmify\user\templates\verify-email.html", "HTML", 187, 0, 0, 0, 0, 0, 0, 22, 42, 251
"d:\Projects\pharmify\user\tests.py", "Python", 0, 0, 1, 0, 0, 0, 0, 1, 2, 4
"d:\Projects\pharmify\user\urls.py", "Python", 0, 0, 22, 0, 0, 0, 0, 2, 6, 30
"d:\Projects\pharmify\user\utils.py", "Python", 0, 0, 20, 0, 0, 0, 0, 2, 6, 28
"d:\Projects\pharmify\user\views.py", "Python", 0, 0, 163, 0, 0, 0, 0, 15, 38, 216
"Total", "-", 1757, 18, 777, 885, 2046, 375, 1471, 713, 1503, 9545